"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000003402",2546.60932638954,1.18344751825219,0.163539128949921,7.23647928083674,4.60481974717614e-13,5.47082294479024e-11
"ENSG00000004799",914.370594679048,2.54405845747004,0.901175648704264,2.82304394390589,0.00475700509138566,0.0359682199816175
"ENSG00000004846",17.9989448799634,-1.88130050944666,0.699834600305041,-2.68820734017244,0.0071836775689175,0.0493425671136202
"ENSG00000005471",33.663699648536,-1.218687262161,0.434789205454585,-2.80293817526318,0.00506393756834592,0.0377234669583698
"ENSG00000006788",10.2534484705697,3.16910248474768,1.06737805146507,2.96905344867999,0.00298718632993918,0.025095363259959
"ENSG00000008256",3716.56541790484,1.20463020462431,0.204288465620282,5.89671179411274,3.70816708158665e-09,1.88635074053642e-07
"ENSG00000008311",721.941418739337,1.1077992199918,0.169645697906779,6.53007552599737,6.57365343266433e-11,5.00222429597164e-09
"ENSG00000009413",7584.97488843759,1.1200897173317,0.16835402351848,6.65318056511282,2.86825942592424e-11,2.38999987911289e-09
"ENSG00000011198",1159.40295920204,1.08963971543416,0.202003263041316,5.39416888137739,6.88414477462033e-08,2.571430548167e-06
"ENSG00000012048",221.109604822104,-1.20938627426539,0.173819178311601,-6.95772633384189,3.45808118196898e-12,3.47960115615199e-10
"ENSG00000013293",244.49400651336,-2.83697519971885,0.359762783549045,-7.88568281502663,3.12820255577383e-15,4.61665474393155e-13
"ENSG00000013297",3431.54455302823,-1.7160889212986,0.263088947958235,-6.52284687219557,6.89852832465814e-11,5.20640979912212e-09
"ENSG00000015520",17.5126902473431,-2.56038268348552,0.718642962089078,-3.56280214035987,0.000366917228925935,0.00461844208521606
"ENSG00000016391",92.1101048399364,-2.0430526185546,0.453262551796207,-4.50743748950429,6.56152527784218e-06,0.000145403715994541
"ENSG00000019186",14.0875173434919,-4.4292946063497,1.03620576834201,-4.27453189479617,1.91539285982742e-05,0.000375233611848106
"ENSG00000020577",3104.99903050483,1.20711583817257,0.147996952614809,8.15635603872411,3.45283622590038e-16,5.94242795326687e-14
"ENSG00000021645",35.9586783335188,1.86917428202052,0.629914976638797,2.96734377073294,0.00300384895851481,0.0252008558410252
"ENSG00000023909",1927.70386518774,1.24618872983959,0.200005625050143,6.23076840727432,4.64152845869121e-10,2.93724215006181e-08
"ENSG00000025423",169.201816463876,-2.18444908371571,0.506073604524347,-4.31646516274811,1.58547689848124e-05,0.000318739706173931
"ENSG00000025708",144.696986437221,1.27469002901987,0.312291924950836,4.08172586985891,4.47025046820174e-05,0.000772229478160741
"ENSG00000028277",34.4572720229068,-2.01648203829472,0.519974336987328,-3.87804146254214,0.000105300773796858,0.00160788868115186
"ENSG00000035664",633.039689235768,1.56946182199203,0.441527386020911,3.55461942267315,0.000378526564739805,0.00475157920223825
"ENSG00000040731",72.2689663645708,-1.82446733272927,0.676829665753001,-2.69560780953577,0.00702603371334914,0.0485130899255059
"ENSG00000041515",10.1316555228039,1.73915999291032,0.529035631927529,3.28741560672148,0.0010111148998089,0.0106459010177135
"ENSG00000046653",1090.45643883243,2.5845007824414,0.765065675731284,3.37814237969965,0.000729772850220883,0.00818937662207042
"ENSG00000048540",60.0651412567297,1.43089681396275,0.415211458552734,3.44618816385825,0.00056855432734261,0.00662896426866215
"ENSG00000049246",196.028265600041,-2.16537790078476,0.283212157945244,-7.64578016881399,2.07682219799524e-14,2.71238870752357e-12
"ENSG00000049759",1212.97707090486,-1.08130813872039,0.193985474826717,-5.57417064182923,2.48711857891038e-08,1.04566869019714e-06
"ENSG00000054938",93.3799826379335,-1.3768213266537,0.430047103125772,-3.20155935628065,0.00136685911301062,0.0135618052619023
"ENSG00000055163",284.230911081761,-1.0118879552721,0.259700298379927,-3.89636808884897,9.76459509350256e-05,0.00150472818951339
"ENSG00000056736",73.8580981973172,-1.01630480243411,0.281653935202537,-3.60834582944238,0.000308155547390281,0.004003992546163
"ENSG00000057657",212.552949723346,1.2705722724869,0.297895658510263,4.26515874330249,1.99760122347254e-05,0.0003883748298198
"ENSG00000060718",363.7631440814,2.38256195930808,0.646007925004639,3.68813116230883,0.000225907197754769,0.00307654034603117
"ENSG00000061337",66.690939169056,-1.01277366312969,0.229116246725504,-4.42034852440235,9.85418403570096e-06,0.000209543647826135
"ENSG00000064201",16.9796928099119,-1.60092484547069,0.457156302300187,-3.50192010350862,0.000461918113642391,0.00562580824254275
"ENSG00000064309",348.466903387175,-1.64649093405668,0.299223086817159,-5.50255313375194,3.74330358986e-08,1.51168718437e-06
"ENSG00000065809",2255.37318851588,-1.01341822206552,0.18211079780808,-5.56484422814687,2.62386690594522e-08,1.09145588183488e-06
"ENSG00000066468",28.7031609448735,-2.36011481492583,0.681547344776129,-3.46287727920218,0.0005344320870387,0.0062965878968763
"ENSG00000067082",3242.40128751998,1.11043438491643,0.155374219992956,7.14683803379203,8.87995472333542e-13,1.01567929335541e-10
"ENSG00000067798",705.207281858137,2.25851209050818,0.385570130971513,5.85759090004575,4.69629778433769e-09,2.31236159621868e-07
"ENSG00000068383",1247.23914866505,1.39524789009234,0.299886769046152,4.65258235476741,3.27803751211552e-06,7.99799170838457e-05
"ENSG00000068831",97.80859654551,1.95644215742438,0.319755898264924,6.11854908084737,9.44311985344008e-10,5.70147711806882e-08
"ENSG00000069431",849.097214895302,1.04720288289449,0.303881538220357,3.44608918668538,0.000568762614416844,0.00662896426866215
